customer_id,first_name,age,gender,postal_code,email,phone_number,membership_status,join_date,last_purchase_date,total_spending,average_order_value,frequency,preferred_category,churn
57,Marie,34,M,69002,user57@example.com,33793338283,Basic,2022-11-18 15:42:00,2026-12-02 11:08:00,592.23,16.92,9,Bakery,Yes
58,Louis,24,M,69006,user58@example.com,33702838281,Basic,2021-02-17 13:59:00,2025-02-07 16:10:00,1409.78,128.16,41,Bakery,Yes
59,Tom,59,F,69007,user59@example.com,33776147049,Gold,2020-03-24 14:05:00,2023-11-09 14:48:00,765.41,29.44,7,Bakery,No
60,Marie,30,F,69002,user60@example.com,33770698625,Silver,2021-07-12 13:38:00,2022-12-12 10:35:00,1315.58,29.9,15,Bread,Yes
61,John,25,M,69005,user61@example.com,33777470636,Silver,2020-02-28 10:51:00,2023-12-19 14:37:00,1002.49,31.33,36,Bread,Yes
62,Louis,29,M,69006,user62@example.com,33785552785,Basic,2021-07-22 09:17:00,2022-08-05 15:01:00,1440.21,75.8,50,Bakery,No
63,Eva,55,M,69005,user63@example.com,33773232668,Basic,2020-10-15 12:58:00,2021-11-11 10:40:00,956.55,95.66,28,Bakery,No
64,Sophie,26,M,69004,user64@example.com,33799637873,Silver,2021-02-16 10:32:00,2023-12-26 11:30:00,1014.49,22.05,15,Tarts,Yes
65,Louis,54,M,69004,user65@example.com,33759391030,Silver,2022-12-12 14:29:00,2026-07-03 09:21:00,1285.43,61.21,22,Tarts,Yes
66,Anna,58,F,69009,user66@example.com,33757411959,Silver,2019-08-02 14:41:00,2023-09-01 16:09:00,816.72,30.25,25,Bread,Yes
67,Emma,36,M,69004,user67@example.com,33768531480,Gold,2020-07-26 12:10:00,2023-07-07 14:20:00,1149.64,35.93,35,Bakery,No
68,Emma,18,M,69005,user68@example.com,33744860012,Basic,2020-06-24 16:11:00,2021-11-20 10:06:00,264.72,15.57,43,Tarts,No
69,Eva,57,F,69007,user69@example.com,33701160823,Gold,2019-09-10 09:29:00,2023-09-22 10:14:00,1209.37,36.65,48,Bakery,Yes
70,Paul,36,M,69001,user70@example.com,33709787439,Silver,2022-11-02 15:14:00,2024-02-08 12:15:00,938.13,52.12,41,Bakery,No
71,Lucas,57,F,69006,user71@example.com,33727566681,Silver,2021-02-21 14:42:00,2022-04-23 12:29:00,532.04,17.73,28,Bread,No
72,Paul,37,M,69008,user72@example.com,33745593376,Gold,2020-06-18 14:11:00,2022-10-05 10:44:00,651.67,20.36,9,Bread,No
73,Anna,55,F,69008,user73@example.com,33762380528,Gold,2021-08-22 13:52:00,2022-04-20 12:51:00,356.74,32.43,45,Bakery,No
74,John,18,F,69003,user74@example.com,33789515043,Silver,2019-08-17 11:00:00,2021-04-21 12:54:00,186.57,3.89,8,Bakery,No
75,Louis,33,M,69002,user75@example.com,33763289210,Silver,2021-03-18 11:37:00,2023-01-14 15:54:00,1014.55,28.18,19,Bread,No
76,Paul,34,F,69004,user76@example.com,33702042449,Basic,2020-08-20 10:59:00,2024-03-18 11:44:00,608.61,86.94,19,Bakery,No
77,Marie,38,F,69009,user77@example.com,33795888433,Gold,2019-12-11 09:28:00,2021-07-12 10:20:00,232.38,6.46,42,Tarts,Yes
78,Louis,59,F,69009,user78@example.com,33728900261,Silver,2020-11-09 09:34:00,2023-12-14 12:25:00,201.89,7.48,24,Tarts,Yes
79,Marie,39,M,69008,user79@example.com,33752390933,Basic,2022-09-02 10:57:00,2025-12-17 11:42:00,1283.14,30.55,8,Bakery,No
80,Sophie,21,M,69002,user80@example.com,33752802571,Basic,2022-08-05 11:11:00,2022-10-12 14:51:00,577.94,14.82,9,Tarts,Yes
81,Emma,38,M,69001,user81@example.com,33788627508,Gold,2020-06-07 16:41:00,2022-01-14 12:58:00,1271.05,37.38,25,Bakery,Yes
82,Eva,18,M,69002,user82@example.com,33794051584,Basic,2020-03-21 15:37:00,2022-11-13 16:43:00,144.48,3.36,22,Bakery,No
83,Sophie,36,M,69004,user83@example.com,33712950771,Silver,2022-01-18 13:44:00,2023-06-08 11:26:00,1009.36,168.23,48,Tarts,No
84,John,22,M,69005,user84@example.com,33701386311,Gold,2019-05-11 14:50:00,2020-07-28 13:25:00,825.23,75.02,49,Bakery,No
85,Emma,59,M,69002,user85@example.com,33745384996,Silver,2022-06-30 11:59:00,2024-08-14 16:17:00,485.99,18.69,43,Tarts,No
86,Anna,20,F,69009,user86@example.com,33771016764,Silver,2022-12-19 10:53:00,2026-04-13 14:08:00,1272.85,26.52,10,Bakery,No
87,Paul,51,F,69006,user87@example.com,33748885629,Basic,2022-01-20 15:32:00,2022-11-15 09:36:00,382.91,13.2,14,Tarts,No
88,Eva,33,M,69009,user88@example.com,33768115114,Basic,2020-08-07 14:20:00,2022-09-27 16:42:00,232.97,19.41,8,Tarts,No
89,Tom,46,M,69002,user89@example.com,33706697098,Gold,2020-10-10 15:53:00,2022-07-28 16:47:00,803.89,160.78,28,Tarts,Yes
90,Louis,57,M,69005,user90@example.com,33785298514,Gold,2021-07-27 09:07:00,2025-06-25 13:59:00,598.15,37.38,37,Bread,No
91,Tom,18,M,69006,user91@example.com,33741961619,Silver,2022-07-06 16:37:00,2026-02-25 12:06:00,1229.02,38.41,40,Bakery,No
92,John,30,M,69006,user92@example.com,33700722310,Basic,2021-03-28 12:39:00,2024-05-20 15:39:00,866.84,45.62,6,Bakery,No
93,Emma,27,F,69001,user93@example.com,33736538931,Gold,2019-03-14 13:54:00,2019-04-15 10:58:00,1308.53,48.46,49,Tarts,No
94,Anna,37,M,69002,user94@example.com,33764275629,Silver,2021-04-23 10:26:00,2023-12-12 13:16:00,890.15,40.46,38,Bakery,No
95,Lucas,20,F,69008,user95@example.com,33767174573,Gold,2020-06-20 13:24:00,2022-07-16 15:57:00,373.79,74.76,48,Bread,Yes
96,Louis,53,M,69004,user96@example.com,33714780169,Silver,2019-06-18 10:43:00,2021-08-27 14:16:00,853.29,20.81,5,Bakery,Yes
97,Sophie,42,M,69004,user97@example.com,33774226445,Basic,2022-06-17 09:26:00,2024-11-18 12:21:00,897.57,179.51,15,Bread,Yes
98,Paul,22,F,69002,user98@example.com,33762150672,Silver,2022-11-20 09:50:00,2023-04-01 12:42:00,541.99,17.48,23,Bakery,Yes
99,Paul,19,M,69003,user99@example.com,33776351183,Silver,2021-05-12 10:15:00,2022-10-17 16:37:00,1158.32,35.1,47,Bread,Yes
100,Sophie,40,F,69007,user100@example.com,33739338092,Silver,2022-08-30 09:56:00,2023-10-19 16:50:00,723.16,80.35,48,Bakery,No
